rep,type,img
False,unrelated,feather_1.png
False,unrelated,chips_1.png
False,unrelated,sushi_1.png
False,unrelated,candy_1.png
False,unrelated,tape_1.png
False,unrelated,crib_1.png
False,unrelated,starfish_1.png
False,unrelated,accordion_1.png
False,unrelated,fridge_1.png
False,unrelated,ball_1.png
False,homophone,tee_1.png
True,unrelated,lamp_1.png
False,unrelated,bicycle_1.png
False,unrelated,tent_1.png
False,unrelated,pillow_1.png
False,nonOrthoRhyme,bear_1.png
False,unrelated,barrel_1.png
False,unrelated,corkscrew_1.png
False,homonym,mouse-comp_1.png
False,unrelated,cane_1.png
False,orthoRhyme,deer_1.png
False,unrelated,leaf_1.png
False,unrelated,pizza_1.png
False,unrelated,tv_1.png
False,unrelated,globe_1.png
False,unrelated,horn_1.png
True,unrelated,pliers_1.png
False,unrelated,chisel_1.png
False,unrelated,hanger_1.png
True,unrelated,skates_1.png
False,unrelated,swan_1.png
False,unrelated,wheelbarrow_1.png
False,unrelated,pliers_1.png
False,unrelated,cooler_1.png
True,unrelated,tv_1.png
False,unrelated,guitar_1.png
True,unrelated,crib_1.png
False,orthoRhyme,box_1.png
False,unrelated,razor_1.png
False,unrelated,fireplace_1.png
True,unrelated,bunny_1.png
False,unrelated,headphones_1.png
False,unrelated,doll_1.png
False,unrelated,scroll_1.png
False,unrelated,knocker_1.png
False,similarSpelling,root_1.png
False,unrelated,tongs_1.png
False,unrelated,skull_1.png
False,unrelated,phone_1.png
True,unrelated,skull_1.png
False,unrelated,toaster_1.png
False,unrelated,icecream_1.png
False,unrelated,fan_1.png
False,unrelated,scale_1.png
False,unrelated,piano_1.png
False,unrelated,mug_1.png
False,unrelated,rhino_1.png
False,unrelated,sword_1.png
False,unrelated,spoon_1.png
False,nonOrthoRhyme,snail_1.png
False,nonOrthoRhyme,plane_1.png
True,unrelated,ball_1.png
False,orthoRhyme,sock_1.png
False,unrelated,gift_1.png
False,unrelated,microphone_1.png
False,unrelated,bed_1.png
False,unrelated,crown_1.png
False,unrelated,helmet_1.png
True,unrelated,case_1.png
False,unrelated,cabinet_1.png
False,unrelated,bottleopener_1.png
True,unrelated,tap_1.png
True,unrelated,doll_1.png
False,unrelated,plate_1.png
False,unrelated,balloon_1.png
False,homonym,seal-object_1.png
False,unrelated,skates_1.png
False,unrelated,cage_1.png
False,orthoRhyme,cat_1.png
False,unrelated,meat_1.png
False,nonOrthoRhyme,chair_1.png
False,unrelated,coffin_1.png
False,unrelated,cactus_1.png
False,unrelated,sink_1.png
False,homophone,flower_1.png
False,unrelated,nest_1.png
False,similarSpelling,cow_1.png
False,similarSpelling,watch_1.png
False,unrelated,tube_1.png
False,unrelated,iron_1.png
False,unrelated,tractor_1.png
False,unrelated,plant_1.png
False,unrelated,pen_1.png
False,unrelated,arch_1.png
False,unrelated,lantern_1.png
True,unrelated,cone_1.png
False,unrelated,corset_1.png
False,unrelated,camera_1.png
False,unrelated,flag_1.png
True,unrelated,tube_1.png
False,homonym,glasses-eye_1.png
False,unrelated,desk_1.png
False,unrelated,remote_1.png
False,unrelated,books_1.png
False,unrelated,game_1.png
False,unrelated,tire_1.png
True,unrelated,rug_1.png
False,unrelated,cone_1.png
False,unrelated,bagel_1.png
False,nonOrthoRhyme,soap_1.png
False,homonym,trunk-car_1.png
False,unrelated,oven_1.png
False,unrelated,cheese_1.png
False,unrelated,case_1.png
False,unrelated,peppers_1.png
False,unrelated,sponge_1.png
False,unrelated,chocolate_1.png
False,unrelated,pill_1.png
False,unrelated,log_1.png
True,unrelated,eggs_1.png
False,unrelated,bread_1.png
False,unrelated,ship_1.png
False,unrelated,robot_1.png
False,unrelated,highchair_1.png
False,unrelated,canoe_1.png
False,homonym,palm-tree_1.png
False,unrelated,lamp_1.png
False,unrelated,ladder_1.png
False,unrelated,frame_1.png
False,unrelated,ring_1.png
False,unrelated,pipe_1.png
True,unrelated,mug_1.png
True,unrelated,bagel_1.png
False,unrelated,lobster_1.png
False,unrelated,perfume_1.png
False,unrelated,pacifier_1.png
False,unrelated,horse_1.png
False,unrelated,dinosaur_1.png
False,unrelated,trophy_1.png
False,similarSpelling,bowl_1.png
False,unrelated,quilt_1.png
False,homonym,bat-animal_1.png
False,unrelated,car_1.png
False,unrelated,shirt_1.png
False,unrelated,microscope_1.png
False,unrelated,belt_1.png
False,unrelated,anchor_1.png
False,unrelated,brick_1.png
True,unrelated,meat_1.png
False,unrelated,rug_1.png
False,unrelated,tap_1.png
True,unrelated,horn_1.png
False,unrelated,camel_1.png
False,unrelated,drum_1.png
False,unrelated,muffin_1.png
True,unrelated,pipe_1.png
False,unrelated,eggs_1.png
False,similarSpelling,comb_1.png
False,unrelated,knife_1.png
False,unrelated,bracelet_1.png
False,unrelated,axe_1.png
False,orthoRhyme,cake_1.png
False,unrelated,strainer_1.png
False,unrelated,olive_1.png
False,similarSpelling,shoe_1.png
False,unrelated,glove_1.png
False,unrelated,kettle_1.png
False,nonOrthoRhyme,key_1.png
False,unrelated,pie_1.png
False,unrelated,calculator_1.png
False,unrelated,bunny_1.png
False,unrelated,tray_1.png
False,unrelated,basket_1.png
False,unrelated,money_1.png
False,orthoRhyme,shell_1.png
False,unrelated,bird_1.png
False,unrelated,rock_1.png
False,unrelated,wheelchair_1.png
False,unrelated,laptop_1.png
False,unrelated,grapes_1.png
