rep,img
False,hat_1.png
False,nest_1.png
False,coffin_2.png
False,pie_1.png
True,lantern_1.png
False,fridge_1.png
False,bell_1.png
False,owl_1.png
False,microscope_2.png
False,pliers_1.png
False,rake_1.png
False,tire_2.png
True,spoon_1.png
False,mouse-squeak_1.png
False,flag_1.png
False,candy_1.png
False,canoe_2.png
False,comb_1.png
False,tea_1.png
False,toe_1.png
False,car_1.png
False,flour_1.png
False,tree_1.png
False,fireplace_1.png
False,trunk-elephant_1.png
False,cheese_1.png
True,toaster_1.png
False,knife_1.png
False,foot_1.png
False,anchor_1.png
False,balloon_1.png
False,game_1.png
False,tap_1.png
False,bat-sport_1.png
False,chisel_2.png
False,bow_1.png
True,bread_1.png
False,brick_1.png
False,globe_1.png
False,soap_1.png
False,match_1.png
False,bracelet_2.png
False,log_2.png
False,sponge_2.png
False,cone_2.png
False,whale_1.png
False,cage_1.png
False,ring_1.png
False,palm-hand_1.png
False,glasses-drink_1.png
False,piano_1.png
False,fox_1.png
False,pizza_2.png
False,seal-animal_1.png
False,bracelet_2.png
False,feather_2.png
False,bed_1.png
False,rug_1.png
False,lantern_2.png
False,muffin_2.png
False,watch_1.png
False,fan_2.png
False,axe_1.png
False,root_1.png
False,strainer_1.png
False,cabinet_1.png
False,muffin_2.png
False,chair_1.png
False,bread_1.png
False,fan_1.png
False,plate_2.png
False,robot_1.png
False,tray_1.png
False,coffin_1.png
True,tire_1.png
False,hanger_1.png
False,desk_1.png
False,horn_1.png
False,clock_1.png
False,wheelchair_1.png
False,frame_2.png
False,crib_2.png
False,tent_2.png
False,pear_1.png
True,iron_1.png
False,cage_2.png
False,hair_1.png
False,quilt_1.png
False,sushi_2.png
False,feather_1.png
False,bomb_1.png
False,beer_1.png
False,cactus_1.png
False,plant_1.png
False,tape_2.png
False,rope_1.png
False,cat_1.png
False,arch_1.png
False,chisel_2.png
False,train_1.png
